run,ns
0,6403
1,6120
2,5724
3,856
4,6060
5,5896
6,2815
7,5259
8,5439
9,5461
10,5598
11,5168
12,3487
13,5747
14,6180
15,6376
16,4002
17,5974
18,5591
19,5572
20,4336
21,6464
22,6136
23,5420
24,5419
25,5210
26,6118
27,5145
28,6123
29,858
30,5668
31,5249
32,5218
33,5910
34,4730
35,5635
36,748
37,5000
38,743
39,5681
40,6287
41,6555
42,2794
43,5795
44,5217
45,3862
46,5923
47,6202
48,5690
49,1611
50,5447
51,5945
52,3887
53,5079
54,4644
55,5654
56,6600
57,5098
58,749
59,5080
60,6558
61,6625
62,5070
63,5381
64,4640
65,5614
66,5619
67,5635
68,5979
69,6176
70,5791
71,5411
72,4653
73,6005
74,775
75,5037
76,5665
77,5368
78,5701
79,1652
80,768
81,5733
82,6026
83,4795
84,2179
85,5237
86,6013
87,5664
88,13136
89,5597
90,5941
91,6063
92,5828
93,5871
94,6323
95,3791
96,4252
97,5165
98,5326
99,4754
