run,ns
0,356569
1,344010
2,363838
3,359081
4,339370
5,342291
6,345441
7,344636
8,342208
9,394344
10,353180
11,345691
12,333570
13,338005
14,412388
15,353130
16,392314
17,379255
18,350619
19,349353
20,326501
21,381059
22,339248
23,342730
24,377038
25,338119
26,357042
27,365956
28,359259
29,331171
30,348797
31,347044
32,352745
33,344113
34,360448
35,361010
36,345885
37,350721
38,361102
39,349936
40,344573
41,362669
42,357282
43,341290
44,370002
45,340548
46,340993
47,380836
48,349967
49,354562
50,346637
51,350214
52,368365
53,361572
54,345170
55,339420
56,362963
57,347143
58,348972
59,343145
60,325839
61,332350
62,359449
63,382468
64,334041
65,342672
66,373717
67,363070
68,337395
69,432663
70,353411
71,331298
72,331223
73,346309
74,327314
75,333677
76,342637
77,364283
78,360448
79,344543
80,352919
81,347294
82,356582
83,341494
84,411585
85,326638
86,340905
87,329349
88,341554
89,330329
90,343577
91,353024
92,344026
93,342864
94,366421
95,327438
96,366238
97,352730
98,341413
99,359595
