run,ns
0,4427730
1,4446338
2,4394271
3,4544637
4,4552137
5,4394844
6,4387361
7,4438986
8,4411165
9,4425144
10,4419271
11,4452297
12,4667180
13,4405306
14,4552017
15,4862871
16,4455067
17,4465841
18,4528686
19,4613881
20,4530694
21,4465821
22,4764117
23,4575662
24,4454888
25,4437747
26,4443841
27,4457487
28,4469683
29,4445845
30,4405692
31,4424824
32,4477992
33,4412058
34,4405492
35,4492762
36,4452316
37,4452017
38,4418159
39,4394691
40,4524538
41,4397887
42,4424611
43,4432764
44,4430062
45,4399572
46,4428511
47,4446376
48,4436903
49,4405077
50,4429731
51,4411602
52,4448895
53,4417219
54,4415932
55,4439093
56,4412905
57,4438714
58,4423126
59,4509020
60,4743357
61,4520022
62,4449455
63,4448209
64,4531671
65,4551071
66,4481452
67,4401870
68,4563856
69,4921715
70,4397539
71,4396148
72,4438812
73,4405007
74,4470058
75,4405019
76,4395034
77,4538530
78,4514628
79,4441981
80,4441182
81,4464219
82,4411422
83,4407805
84,4603430
85,4875880
86,4623228
87,4765897
88,4564413
89,4427300
90,4541105
91,4406173
92,4396914
93,4478738
94,4403603
95,4472917
96,4487714
97,4502796
98,4414894
99,4458029
