run,ns
0,317177
1,281456
2,279835
3,282316
4,299757
5,305712
6,356111
7,294002
8,285425
9,287598
10,280081
11,277522
12,271581
13,306281
14,283491
15,272632
16,281689
17,291227
18,301862
19,278438
20,283016
21,281320
22,280804
23,328579
24,355720
25,311093
26,283573
27,295977
28,274209
29,289892
30,292844
31,289136
32,277648
33,299488
34,287502
35,268444
36,274758
37,298890
38,279522
39,274196
40,287996
41,311350
42,332032
43,277191
44,311716
45,281837
46,270731
47,310590
48,272382
49,282365
50,284946
51,364985
52,296464
53,293617
54,293972
55,363630
56,258978
57,299114
58,283874
59,303527
60,293172
61,283535
62,265470
63,298369
64,305840
65,304206
66,278676
67,301104
68,267553
69,300292
70,278280
71,297930
72,278454
73,283580
74,281730
75,296248
76,279523
77,300228
78,288043
79,287668
80,289941
81,292986
82,287356
83,287130
84,299628
85,549182
86,276166
87,313799
88,322517
89,391232
90,275126
91,280862
92,289482
93,274763
94,274104
95,293247
96,279902
97,282612
98,290770
99,290674
