run,ns
0,3204759
1,2814823
2,2957385
3,2756515
4,2851562
5,3177534
6,3135027
7,2753374
8,2807152
9,3167758
10,2811784
11,2909136
12,2844772
13,2751793
14,3137843
15,2815861
16,2791508
17,2823886
18,2800886
19,2866192
20,3081751
21,2722241
22,3011097
23,2856232
24,2986644
25,2809345
26,2829185
27,2867230
28,2809421
29,2820898
30,2934394
31,2877988
32,2984556
33,2978418
34,2685953
35,2765722
36,2940695
37,2764096
38,2778981
39,2632736
40,3005279
41,2811325
42,2929557
43,2960288
44,2979422
45,2661140
46,2812027
47,2863510
48,2669943
49,2775898
50,3009648
51,2910708
52,2985841
53,3074957
54,2817778
55,2841887
56,2755396
57,2743776
58,2875677
59,2723231
60,2907613
61,3029178
62,2808361
63,2863429
64,2897133
65,2897937
66,2811725
67,2907666
68,2817836
69,2900220
70,2799504
71,2768058
72,2764515
73,2764114
74,2858958
75,2735686
76,2759118
77,2855419
78,2837457
79,2884225
80,2791992
81,2932060
82,3102952
83,2800899
84,2773070
85,2789745
86,2702237
87,2717937
88,2805113
89,2658897
90,2735186
91,2848409
92,2988612
93,2946220
94,2962829
95,2878448
96,2836135
97,3051498
98,2833612
99,2862380
