run,ns
0,153606
1,148602
2,162071
3,172698
4,160388
5,164605
6,183464
7,167942
8,236112
9,190682
10,164097
11,164547
12,160007
13,167129
14,179712
15,154334
16,194325
17,164829
18,163194
19,195182
20,167988
21,156732
22,150642
23,167925
24,160073
25,169510
26,162344
27,154209
28,151806
29,204939
30,157725
31,173502
32,182207
33,167149
34,182573
35,183140
36,159285
37,153344
38,170285
39,168762
40,166425
41,163930
42,186011
43,167406
44,160473
45,152844
46,162627
47,154137
48,153957
49,165348
50,169721
51,162361
52,165578
53,158602
54,154883
55,155361
56,167892
57,164120
58,162659
59,157203
60,177852
61,180881
62,166438
63,170703
64,197050
65,160674
66,154610
67,166478
68,165120
69,177307
70,150356
71,163267
72,168904
73,165780
74,165824
75,171462
76,168751
77,161879
78,191822
79,174777
80,154959
81,163421
82,179705
83,162687
84,159341
85,153630
86,222449
87,156705
88,150444
89,183290
90,162427
91,161902
92,162029
93,202743
94,154764
95,164535
96,158886
97,156567
98,154219
99,160445
