run,ns
0,1545278
1,1510640
2,1495570
3,1706425
4,1560906
5,1523945
6,1560850
7,1548629
8,1494269
9,1509705
10,1484978
11,1498218
12,1513072
13,1574841
14,1541808
15,1564854
16,1511518
17,1473814
18,1506675
19,1526758
20,1524225
21,1570241
22,1906655
23,1491381
24,1526146
25,1643750
26,1524685
27,1533250
28,1563217
29,1517067
30,1539536
31,1521649
32,1491619
33,1447220
34,1642049
35,1499151
36,1585876
37,1560648
38,1650915
39,1540963
40,1527613
41,1530624
42,1529418
43,1534604
44,1494314
45,1529938
46,1610382
47,1475610
48,1508599
49,1638031
50,1510806
51,1550334
52,1580531
53,1504608
54,1514787
55,1585372
56,1634370
57,1509209
58,1579599
59,1506239
60,1542233
61,1519405
62,1577876
63,1487003
64,1522553
65,1535427
66,1482413
67,1572922
68,1621237
69,1560807
70,1545786
71,1494718
72,1504575
73,1515772
74,1477018
75,1489385
76,1499490
77,1633723
78,1510497
79,1517642
80,1575961
81,1584015
82,1576067
83,1496817
84,1472846
85,1481306
86,1443684
87,1541615
88,1506584
89,1635480
90,1522800
91,1512999
92,1581138
93,1517384
94,1511204
95,1532311
96,1537757
97,1536874
98,1813554
99,1525031
