run,ns
0,7127
1,6020
2,4977
3,4872
4,5259
5,5532
6,5037
7,5472
8,5728
9,4946
10,10685
11,4906
12,5089
13,5296
14,5744
15,5564
16,5419
17,5426
18,5191
19,5448
20,5227
21,5984
22,5276
23,5671
24,6919
25,4797
26,6050
27,5277
28,4919
29,5497
30,5708
31,5265
32,6246
33,4497
34,5529
35,5365
36,5384
37,5227
38,6923
39,4633
40,5292
41,6177
42,4732
43,5067
44,6286
45,5849
46,5891
47,6090
48,4616
49,4998
50,6387
51,6125
52,4206
53,5469
54,4976
55,4783
56,5267
57,4597
58,5716
59,6061
60,6217
61,4727
62,4228
63,5230
64,6609
65,5298
66,5380
67,5074
68,5855
69,5917
70,6710
71,5942
72,6361
73,4477
74,6231
75,6159
76,5153
77,4673
78,5860
79,5128
80,3951
81,4774
82,6367
83,5188
84,5553
85,5345
86,4151
87,6294
88,5261
89,5710
90,5731
91,5690
92,5790
93,5266
94,5466
95,4204
96,5632
97,6837
98,4202
99,5130
