run,ns
0,2268764289
1,2255588432
2,2268453080
3,2247467783
4,2246260952
5,2259142275
6,2273734216
7,2261806634
8,2253323948
9,2278827681
10,2273218845
11,2274825394
12,2287997180
13,2279708509
14,2266971731
15,2276244872
16,2283955098
17,2281078636
18,2279390391
19,2273668528
20,2282337610
21,2277453282
22,2238148407
23,2245762529
24,2250771435
25,2252240319
26,2236033395
27,2246987774
28,2258598782
29,2263891486
30,2234727905
31,2242900921
32,2249708561
33,2250023064
34,2247250246
35,2254890589
36,2266172986
37,2266072419
38,2271006559
39,2262893692
40,2261005463
41,2261002075
42,2268202122
43,2265737720
44,2270293764
45,2262834964
46,2262580092
47,2263282624
48,2264109630
49,2235470073
50,2251426726
51,2251532301
52,2250335960
53,2247238839
54,2236616555
55,2256892861
56,2243125032
57,2251382393
58,2230706499
59,2234427359
60,2257221128
61,2252681484
62,2255408244
63,2257821278
64,2267935343
65,2254310043
66,2273582353
67,2255444793
68,2259491414
69,2253277948
70,2260872209
71,2249422081
72,2243811891
73,2260358308
74,2245150969
75,2233431923
76,2236071033
77,2230342758
78,2227326081
79,2238755984
80,2241791919
81,2234082655
82,2240826578
83,2235465216
84,2234682622
85,2239683645
86,2232175729
87,2228903611
88,2263473066
89,2267323379
90,2274808359
91,2254653373
92,2263182971
93,2262094023
94,2272702316
95,2267309804
96,2256351530
97,2260384746
98,2257691593
99,2266896801
