run,ns
0,46960
1,47818
2,43212
3,43589
4,45924
5,47539
6,43856
7,44730
8,54928
9,49801
10,49649
11,45073
12,47611
13,40553
14,42087
15,47020
16,47613
17,51274
18,50942
19,44324
20,43505
21,43159
22,46359
23,49234
24,45856
25,43937
26,43994
27,45474
28,50058
29,50779
30,49612
31,41830
32,46640
33,46104
34,65362
35,57245
36,50245
37,43965
38,45802
39,56663
40,43809
41,44899
42,45455
43,45664
44,45076
45,46976
46,51570
47,47527
48,55078
49,55383
50,59106
51,43888
52,48947
53,44011
54,62850
55,45725
56,45174
57,48460
58,47645
59,43906
60,45800
61,51994
62,51595
63,45736
64,46506
65,46819
66,51594
67,53732
68,45083
69,44686
70,49926
71,57180
72,47032
73,44024
74,46727
75,48068
76,42415
77,45695
78,53325
79,45954
80,61332
81,52216
82,52511
83,50105
84,51682
85,44658
86,47869
87,52231
88,45072
89,51487
90,48571
91,47439
92,48846
93,41512
94,49497
95,57326
96,60050
97,47323
98,50494
99,42289
