run,ns
0,4894979
1,4661288
2,4581839
3,4597205
4,4540107
5,4953611
6,4605614
7,4608069
8,4675730
9,4635094
10,4658900
11,4464147
12,4581454
13,4753343
14,4541162
15,4499462
16,4531432
17,4498384
18,4577142
19,4627371
20,4584754
21,4491908
22,4818370
23,4672580
24,4560404
25,4815131
26,5735788
27,4459996
28,4670591
29,4567177
30,4381689
31,4605743
32,4537552
33,4758867
34,4682102
35,4629398
36,4896502
37,4581744
38,4561359
39,4594821
40,5111199
41,4601455
42,4562530
43,4809872
44,4420167
45,4673515
46,4625899
47,4459359
48,4458074
49,4737981
50,4445063
51,4549700
52,4760862
53,4803959
54,4431114
55,4509711
56,4542594
57,4395195
58,4458444
59,4445326
60,4738611
61,4457720
62,4732710
63,4554853
64,4808326
65,4614553
66,4628173
67,4558552
68,4569261
69,4670673
70,4625308
71,4669427
72,4913369
73,4604560
74,4481151
75,4614645
76,4775868
77,4589188
78,4675136
79,4619911
80,4689594
81,4615131
82,4657685
83,4774358
84,4506199
85,4664134
86,4590407
87,4574293
88,4882847
89,4551571
90,4409451
91,4725362
92,4608397
93,4686918
94,4760521
95,4569643
96,4644365
97,4543871
98,4506080
99,4616447
