run,ns
0,19627149
1,19743794
2,19632679
3,19680787
4,19739202
5,19393075
6,19599248
7,19417181
8,19248447
9,19432387
10,19351944
11,20290124
12,19904046
13,19501145
14,19628202
15,19342797
16,19500704
17,19490028
18,19473466
19,19894833
20,19556628
21,19523131
22,19803792
23,19961470
24,19766334
25,19835419
26,19699102
27,19932757
28,19764060
29,19982650
30,19755984
31,19537744
32,19685871
33,19498277
34,19789803
35,21791123
36,19615067
37,19230109
38,19476055
39,19304128
40,19297370
41,20154926
42,19492153
43,19473088
44,19586299
45,19534672
46,19439273
47,19906294
48,19557827
49,20190185
50,19806873
51,19473521
52,19746570
53,19839420
54,19963888
55,19758516
56,20012856
57,19487218
58,19729543
59,19702795
60,19725097
61,19555350
62,19537598
63,19842122
64,20492234
65,19972871
66,19536711
67,20403761
68,20166876
69,20046093
70,19888357
71,19605890
72,20027420
73,19521604
74,20031339
75,19711141
76,19868648
77,20765202
78,19474202
79,19968789
80,19689801
81,19608027
82,19754594
83,22501384
84,22019107
85,19251361
86,19418475
87,19057711
88,19332433
89,19536851
90,20063515
91,19346758
92,19797773
93,19530908
94,19429885
95,19733557
96,20010335
97,19724930
98,20099846
99,19886585
