run,ns
0,158654
1,134929
2,150819
3,167566
4,138824
5,160072
6,152266
7,141384
8,143066
9,139072
10,147495
11,155231
12,156553
13,148411
14,150335
15,148169
16,143751
17,139380
18,176211
19,142678
20,150015
21,143436
22,198502
23,146380
24,141048
25,150807
26,148699
27,169660
28,148991
29,148724
30,147324
31,148409
32,143156
33,141768
34,153094
35,162103
36,145173
37,154139
38,138719
39,150426
40,145820
41,153877
42,150720
43,159389
44,158233
45,173729
46,137009
47,164797
48,137360
49,171208
50,155681
51,151486
52,155164
53,161650
54,146708
55,153349
56,135108
57,137250
58,139744
59,140278
60,155820
61,160048
62,167769
63,154948
64,155880
65,159585
66,142652
67,139847
68,139907
69,139913
70,149748
71,147139
72,151102
73,135456
74,133834
75,146893
76,158674
77,149332
78,185296
79,144725
80,143034
81,155948
82,166784
83,140437
84,171202
85,136783
86,165131
87,137219
88,133912
89,144418
90,147550
91,137863
92,153065
93,146035
94,153896
95,147634
96,145676
97,145398
98,146504
99,160616
