run,ns
0,35127
1,34973
2,32270
3,34906
4,32457
5,28924
6,31559
7,34336
8,42191
9,33586
10,31093
11,32090
12,31630
13,32591
14,31935
15,32612
16,31977
17,33865
18,28254
19,33161
20,30783
21,28880
22,34091
23,33136
24,31949
25,35496
26,31904
27,32369
28,31876
29,94589
30,32941
31,32035
32,33576
33,31144
34,119116
35,49729
36,51653
37,45020
38,46841
39,45333
40,43527
41,45581
42,43343
43,43659
44,43442
45,48858
46,43813
47,42103
48,48912
49,49522
50,47261
51,50224
52,46775
53,47691
54,57368
55,45812
56,50190
57,53574
58,51879
59,50536
60,48623
61,50176
62,47189
63,38207
64,31941
65,32668
66,32973
67,33064
68,33960
69,30992
70,32160
71,33034
72,57055
73,54820
74,32349
75,33121
76,34155
77,31907
78,34871
79,34194
80,31357
81,33176
82,33328
83,32730
84,32682
85,33256
86,31595
87,33288
88,39521
89,32723
90,27900
91,33127
92,33520
93,34131
94,32887
95,33643
96,33206
97,32422
98,33694
99,30734
