run,ns
0,21304001
1,21682669
2,21171265
3,21142593
4,20779685
5,20976515
6,21368020
7,21084840
8,20886261
9,21199097
10,21834500
11,21487392
12,20996902
13,20954105
14,21143454
15,21580899
16,21082338
17,21533513
18,21264586
19,20804774
20,21235429
21,21126648
22,20925441
23,20983262
24,21365617
25,21581691
26,21466358
27,23823809
28,21417424
29,20865966
30,20716356
31,20594873
32,20865514
33,21317151
34,21099216
35,20994566
36,21589370
37,21147131
38,21450947
39,21527863
40,20994125
41,21171759
42,21401893
43,21399457
44,21380064
45,21628137
46,21582427
47,21048588
48,21867236
49,21253689
50,21417800
51,21015548
52,21452453
53,21145882
54,21188583
55,21132323
56,21063872
57,20789580
58,21063103
59,21069472
60,21035544
61,21004909
62,21137413
63,21430583
64,21084616
65,20728651
66,21606661
67,21595975
68,21217989
69,21066315
70,21506023
71,21227096
72,21650436
73,21183651
74,21757994
75,21170278
76,21108086
77,21791355
78,21262284
79,21405427
80,21290175
81,20916532
82,20975352
83,21465737
84,20925656
85,20937082
86,21085800
87,21491427
88,21078924
89,21014820
90,21286391
91,20950203
92,21132539
93,21457648
94,20851432
95,20876478
96,21262180
97,21249726
98,20898200
99,22016067
