run,ns
0,1940242
1,1945948
2,1875776
3,1875249
4,1930334
5,1974865
6,1938753
7,1929603
8,1900926
9,1936789
10,1910956
11,1952883
12,2023207
13,1831305
14,2000893
15,1899730
16,1978571
17,1937006
18,1897917
19,1894729
20,2041622
21,1989639
22,2068195
23,1892920
24,1959418
25,1922074
26,2064975
27,1854263
28,1960107
29,1935397
30,1895641
31,1909636
32,1931418
33,1970721
34,2071346
35,1944367
36,1906574
37,1867722
38,2226309
39,1919120
40,2168340
41,2061292
42,1900829
43,1919517
44,1939762
45,1880811
46,1944423
47,1978020
48,1946983
49,1972206
50,2015764
51,1908697
52,1896905
53,1989825
54,1955860
55,1972868
56,1978096
57,2041728
58,1951585
59,1951350
60,1915849
61,2005758
62,1851953
63,2161280
64,1860253
65,1971626
66,1984825
67,2331381
68,2080843
69,2081017
70,2084027
71,2012307
72,2023790
73,2163962
74,2030193
75,1965178
76,2061839
77,2058733
78,1878986
79,2104480
80,1922909
81,1942503
82,1878599
83,1917828
84,1995800
85,1943596
86,1974935
87,2115451
88,2163310
89,1886374
90,2164304
91,1859084
92,1897266
93,1939748
94,1912693
95,1862199
96,1929547
97,1944650
98,1906299
99,1932460
