run,ns
0,1558039
1,1600209
2,1589624
3,1540031
4,1537857
5,1560282
6,1616732
7,1492409
8,1617138
9,1507496
10,1588431
11,1592007
12,1595315
13,1570113
14,1612499
15,1554024
16,1588045
17,1582398
18,1608939
19,1605206
20,1537083
21,1484217
22,1575293
23,1472404
24,1543474
25,1547379
26,1626276
27,1609518
28,1603555
29,1528262
30,1578994
31,1503837
32,1634160
33,1581350
34,1595960
35,1527888
36,1512180
37,1599816
38,1611457
39,1544027
40,1668693
41,1534633
42,1595738
43,1522943
44,1500479
45,1499445
46,1558876
47,1538397
48,1625941
49,1643390
50,1667613
51,1575257
52,1574128
53,1520617
54,1563080
55,1530810
56,1540206
57,1465403
58,1522512
59,1498830
60,1603961
61,1541443
62,1575066
63,1514956
64,1832691
65,1553702
66,1505188
67,1513677
68,1584826
69,1439276
70,1580683
71,1563864
72,1549460
73,1521677
74,1486790
75,1537093
76,1519611
77,1738238
78,1485116
79,1682179
80,1565265
81,1555252
82,1516840
83,1834000
84,1590304
85,1577838
86,1569337
87,1708481
88,1668503
89,1570389
90,1579900
91,1636341
92,1601789
93,1551117
94,1540820
95,1675932
96,1638452
97,1619895
98,1555296
99,1660804
