run,ns
0,405961397
1,402278424
2,404224224
3,402043846
4,400668181
5,400037038
6,397681294
7,400654181
8,402611720
9,404976602
10,403883745
11,406862199
12,401943579
13,403819719
14,403787394
15,403253350
16,403815555
17,400988941
18,402430139
19,403963724
20,403541027
21,405110284
22,405932237
23,411386571
24,400925548
25,405117554
26,399682361
27,403441496
28,406798857
29,401327538
30,401544773
31,400670868
32,404117840
33,403628364
34,401243425
35,404585521
36,401624076
37,404609776
38,403244676
39,400757131
40,401519815
41,402534484
42,398396350
43,402976080
44,400224049
45,398142155
46,399213867
47,400277565
48,403853542
49,403585589
50,405565969
51,402459036
52,402619097
53,405881097
54,402714120
55,400358954
56,399775440
57,398356916
58,400380363
59,404295630
60,400477093
61,404822869
62,403634712
63,398867157
64,401968488
65,396775775
66,392871382
67,394363624
68,398523688
69,398541956
70,396693688
71,404072830
72,401418507
73,398784709
74,405360190
75,397820312
76,400372571
77,401333012
78,400434219
79,401594973
80,401890940
81,401728051
82,402695302
83,401565794
84,395831175
85,397714742
86,399061094
87,401601177
88,401865749
89,397800177
90,396155857
91,392743038
92,394490223
93,395250683
94,393416408
95,396044049
96,397198217
97,396347421
98,397223873
99,396840106
