run,ns
0,4991816
1,4946493
2,4914907
3,4923287
4,4817347
5,4871319
6,4928118
7,5153867
8,4928783
9,5221018
10,4993561
11,4960729
12,5009622
13,4949937
14,5322153
15,4982765
16,5010384
17,5008108
18,5016460
19,5097449
20,4918103
21,4985216
22,5021462
23,5006443
24,4913790
25,4869133
26,5192058
27,4971392
28,4886401
29,4933898
30,5193064
31,5065157
32,5279917
33,4928544
34,4955643
35,5255765
36,4940880
37,5247704
38,4902157
39,5065706
40,5122586
41,5085691
42,4924423
43,5019317
44,5433116
45,4934958
46,4946382
47,4908694
48,5075195
49,4893511
50,5128686
51,4892457
52,5050156
53,4855731
54,4944921
55,4969721
56,5165400
57,5059258
58,4962918
59,5194609
60,5009546
61,4997103
62,5115855
63,5129103
64,5050587
65,5095636
66,4937756
67,5005016
68,4970712
69,5040431
70,4855670
71,5089659
72,4850276
73,4920404
74,4989335
75,5043939
76,4979942
77,5208473
78,4896448
79,4925988
80,4912625
81,5025708
82,5052614
83,4892947
84,5078329
85,5055046
86,5186140
87,5046829
88,5031217
89,5295694
90,5070885
91,5087469
92,5070069
93,4969896
94,5003455
95,5038424
96,5069710
97,5044271
98,5056816
99,5114408
