run,ns
0,312893
1,323726
2,322711
3,324081
4,325200
5,337985
6,330670
7,320675
8,321202
9,313200
10,349260
11,316466
12,330201
13,331529
14,351784
15,323985
16,315916
17,370843
18,333128
19,305824
20,320632
21,319930
22,314376
23,313678
24,373382
25,314779
26,306600
27,323355
28,331184
29,312413
30,324229
31,314555
32,340443
33,319343
34,322794
35,431069
36,323787
37,318310
38,295125
39,327839
40,321873
41,299475
42,318327
43,316568
44,331141
45,326342
46,375020
47,318521
48,323572
49,322930
50,336705
51,322313
52,327021
53,321170
54,326334
55,346603
56,325158
57,327457
58,317490
59,309143
60,327718
61,321105
62,311854
63,316338
64,302040
65,324623
66,316683
67,326970
68,344840
69,326769
70,312325
71,336792
72,307233
73,311518
74,337818
75,325005
76,328622
77,321072
78,302818
79,325033
80,309224
81,336697
82,338680
83,327764
84,473126
85,309335
86,317681
87,317674
88,311478
89,302528
90,339881
91,314546
92,310391
93,301911
94,343189
95,316494
96,319750
97,312722
98,340376
99,325144
