run,ns
0,4152336746
1,4104033761
2,4106859661
3,4107958639
4,4092496321
5,4094854047
6,4070550149
7,4049047685
8,4056509246
9,4051165818
10,4065474390
11,4055224234
12,4055617581
13,4099315494
14,4102284108
15,4100349130
16,4102101098
17,4111158420
18,4120134419
19,4102532366
20,4089578195
21,4058306289
22,4090019196
23,4061644003
24,4063857572
25,4082812769
26,4076801077
27,4067643014
28,4093172346
29,4106066830
30,4098267435
31,4122757286
32,4083646032
33,4097238009
34,4089333805
35,4056925241
36,4051765289
37,4054550272
38,4058434460
39,4053136789
40,4053555395
41,4064583377
42,4089837409
43,4111016471
44,4119376849
45,4106240964
46,4122286553
47,4098882855
48,4114276725
49,4107704035
50,4074306033
51,4081977691
52,4075858618
53,4062465779
54,4069941313
55,4173257404
56,4271358910
57,4276805771
58,4288397564
59,4288527755
60,4245992856
61,4299035003
62,4260937782
63,4246568249
64,4191562733
65,4169589109
66,4178199401
67,4177415941
68,4176978947
69,4197364965
70,4201190497
71,4266951814
72,4260654448
73,4266901199
74,4251225160
75,4278754329
76,4262868427
77,4243612545
78,4205923657
79,4216863622
80,4188609675
81,4207552236
82,4206376598
83,4194190912
84,4209778453
85,4210390653
86,4208556796
87,4200863749
88,4212050410
89,4198172086
90,4213924976
91,4206344740
92,4172367355
93,4163688642
94,4195907493
95,4246024321
96,4244676404
97,4260449698
98,4250634659
99,4268581384
