run,ns
0,507801
1,492098
2,530080
3,533231
4,531777
5,530192
6,569431
7,527123
8,502189
9,490310
10,612828
11,509187
12,565789
13,493996
14,506617
15,490204
16,494613
17,554250
18,649288
19,510898
20,504712
21,543136
22,596516
23,496394
24,492645
25,500618
26,599350
27,489453
28,540390
29,530518
30,570643
31,515776
32,509831
33,514098
34,502079
35,496219
36,494661
37,559672
38,531828
39,714564
40,488039
41,491056
42,511557
43,504775
44,503277
45,542567
46,589736
47,575608
48,490336
49,502439
50,498155
51,627226
52,512014
53,504748
54,545443
55,536377
56,493607
57,516785
58,502487
59,498276
60,501278
61,523330
62,504490
63,502565
64,494066
65,499320
66,485236
67,504662
68,503017
69,500998
70,490191
71,507968
72,492843
73,482633
74,496104
75,488977
76,475159
77,515127
78,493332
79,521493
80,539464
81,495677
82,502341
83,500997
84,483340
85,513341
86,502143
87,500556
88,505457
89,498406
90,505211
91,492396
92,494513
93,503874
94,489012
95,493343
96,503063
97,505328
98,494932
99,485999
