run,ns
0,2054310401
1,2059903382
2,2054340062
3,2066721564
4,2054701221
5,2052917363
6,2055260426
7,2061059613
8,2048478400
9,2052806536
10,2042302519
11,2054014935
12,2058549359
13,2057504744
14,2060648166
15,2048160822
16,2038705708
17,2053928165
18,2047578817
19,2040209240
20,2052722094
21,2056217808
22,2044669684
23,2062505229
24,2075789952
25,2066248364
26,2076306744
27,2062572175
28,2059798600
29,2052588774
30,2062713374
31,2074207340
32,2067639822
33,2066608098
34,2067661301
35,2048375424
36,2075847017
37,2064209527
38,2046572861
39,2056217785
40,2050807617
41,2065250637
42,2051261818
43,2060163955
44,2057691386
45,2050493807
46,2056741564
47,2058081897
48,2059520816
49,2051175055
50,2051631592
51,2058949128
52,2056488524
53,2060144130
54,2070968272
55,2064882109
56,2063340881
57,2065712970
58,2073454322
59,2069533741
60,2065362712
61,2072907044
62,2069417226
63,2063676625
64,2059796913
65,2057658854
66,2063573553
67,2039117002
68,2045654683
69,2039028493
70,2051810852
71,2045148059
72,2047551629
73,2046420875
74,2049689141
75,2055962715
76,2053196678
77,2052786413
78,2053366929
79,2040808310
80,2041721851
81,2082594165
82,2079746027
83,2078045020
84,2091468113
85,2086271720
86,2080932350
87,2081928794
88,2087120285
89,2098795749
90,2086740697
91,2082189630
92,2079999003
93,2083515093
94,2088817320
95,2075629462
96,2083406729
97,2089370205
98,2068962222
99,2056854684
