run,ns
0,1113330093
1,1115611614
2,1111419832
3,1110121961
4,1109452041
5,1113283320
6,1112524310
7,1125978024
8,1109007386
9,1113336800
10,1118472234
11,1118480932
12,1126531830
13,1122506727
14,1113057482
15,1117062315
16,1119880607
17,1106703013
18,1114415425
19,1110317421
20,1118613262
21,1123714985
22,1112287611
23,1119058778
24,1122028921
25,1118330370
26,1123413320
27,1116241762
28,1110853030
29,1113746071
30,1114849965
31,1122105972
32,1113442272
33,1122473648
34,1110557799
35,1115543356
36,1122195968
37,1118053986
38,1124629806
39,1118234585
40,1112732953
41,1120784574
42,1117208048
43,1123017646
44,1108515088
45,1122821429
46,1115163985
47,1133185397
48,1120299756
49,1118119972
50,1125664866
51,1125513317
52,1128907831
53,1123956368
54,1112426018
55,1111521427
56,1123264544
57,1123890327
58,1120225371
59,1117994495
60,1110125986
61,1119156380
62,1114549950
63,1123219360
64,1121899198
65,1125528636
66,1120899159
67,1127158850
68,1122559488
69,1112876359
70,1113474756
71,1111237287
72,1111630186
73,1108232715
74,1107823672
75,1108877351
76,1117350380
77,1115039226
78,1110254249
79,1109845428
80,1111821953
81,1102199909
82,1097919482
83,1093684141
84,1107202523
85,1102210503
86,1106850136
87,1114291840
88,1113441625
89,1112362865
90,1107769160
91,1107022267
92,1119145157
93,1114851662
94,1106669916
95,1116801000
96,1117404581
97,1126810029
98,1124261233
99,1124561206
