run,ns
0,517875147
1,519058805
2,520384423
3,519678153
4,522221880
5,525285776
6,521940090
7,518618697
8,519065853
9,523234246
10,519931289
11,519965741
12,519539681
13,520254672
14,519925877
15,521103102
16,519200685
17,520632193
18,519465945
19,520386438
20,519813950
21,520027874
22,519955576
23,521729299
24,522945966
25,524087000
26,519823745
27,520811167
28,521074472
29,524594060
30,522243790
31,518748214
32,518947438
33,519943994
34,520060610
35,521213864
36,517299349
37,522131611
38,522517540
39,519396714
40,523201143
41,523766653
42,521482675
43,522258255
44,524887270
45,520938686
46,518210950
47,523610687
48,524638458
49,525883486
50,528398335
51,527069717
52,529827176
53,525330542
54,527055846
55,529926664
56,529129280
57,527943258
58,529550658
59,524640899
60,529306424
61,528631477
62,526752725
63,523655864
64,530728449
65,525850637
66,525889527
67,526075354
68,527174802
69,526233492
70,527005034
71,529750834
72,528063495
73,528687297
74,520450481
75,522539725
76,526785692
77,527367008
78,532945445
79,527955782
80,527228389
81,524042437
82,523070871
83,526434431
84,528046678
85,522740527
86,534181065
87,525927780
88,524379723
89,522762904
90,531705291
91,530077427
92,529316733
93,527816580
94,532457570
95,527751256
96,527451415
97,532925084
98,525569700
99,525708542
