run,ns
0,3025519
1,3073225
2,3177644
3,3057040
4,2957323
5,2918165
6,3128922
7,2983219
8,3123414
9,2984200
10,3058997
11,2957355
12,2954833
13,2939748
14,2955532
15,3019399
16,2979700
17,3068878
18,2976822
19,2983827
20,3012863
21,3135066
22,3059451
23,2952515
24,2998786
25,3025695
26,3129825
27,2904072
28,3013807
29,2939254
30,2994520
31,3004190
32,2968359
33,3062884
34,2948503
35,3221653
36,3023022
37,3026157
38,2994639
39,2936883
40,3115688
41,3134399
42,3066803
43,2943675
44,2960973
45,3250858
46,2999980
47,2909083
48,3025798
49,3057050
50,3075358
51,3225713
52,3175015
53,2935845
54,3008297
55,3134281
56,3114347
57,3011783
58,2990184
59,3002932
60,3183620
61,2990207
62,3151107
63,2999984
64,3101581
65,3000946
66,3341914
67,3122200
68,2950080
69,2961540
70,2984612
71,3020269
72,3071787
73,2916313
74,2928652
75,2989383
76,2964893
77,3001270
78,3128516
79,3003421
80,3037912
81,2985086
82,2971337
83,3177019
84,2955648
85,3017312
86,2987271
87,2968664
88,3012744
89,3044848
90,3155760
91,3142011
92,3060115
93,2962291
94,2948580
95,3197481
96,3029212
97,3093126
98,3450741
99,2981117
