run,ns
0,16139426416
1,16088441185
2,15904774387
3,15922371777
4,16091143699
5,16026636931
6,15943481595
7,15952218367
8,15990435362
9,15920342372
10,15860335728
11,15994909553
12,16017880360
13,15955233791
14,15950215585
15,15953489518
16,15962976713
17,15867240848
18,15889318766
19,16098448071
20,16085762526
21,16032922292
22,16072169615
23,16115309761
24,15978270857
25,15898435371
26,16014077069
27,16057429692
28,15959241029
29,15943766785
30,15962459668
31,15952121506
32,15878790595
33,15917392877
34,16028419812
35,15995172042
36,15943920615
37,15938009750
38,15964499839
39,15877275072
40,15858917718
41,16052487797
42,16101400679
43,16052767783
44,16047681832
45,16257011464
46,16076231770
47,15913694287
48,15941763838
49,16083776201
50,16034692549
51,15901252875
52,15951134692
53,15939100988
54,15878438702
55,15863006149
56,16066042513
57,16070728018
58,15927394264
59,15980323047
60,15963571002
61,15981948230
62,15862821648
63,15921325019
64,16126873160
65,16067492242
66,16073143707
67,16072063693
68,16122529523
69,16000131489
70,15910804735
71,16008818001
72,16090612365
73,15977001749
74,15918962186
75,15955373591
76,15952680108
77,15855471178
78,15880825607
79,16043174075
80,16020043118
81,15919269563
82,15937913047
83,15963400129
84,15918932655
85,15862021773
86,16282826188
87,16355858574
88,16208812027
89,16303741403
90,16294914353
91,16226455189
92,15870878970
93,15872771814
94,15802289124
95,15817277372
96,15866874480
97,15830357167
98,15976572082
99,15934457098
