run,ns
0,1339776
1,1338931
2,1366619
3,1373657
4,1407671
5,1312074
6,1421833
7,1331186
8,1380871
9,1335918
10,1351211
11,1383595
12,1380368
13,1431583
14,1427266
15,1363860
16,1491630
17,1361858
18,1340226
19,1455673
20,1411284
21,1438653
22,1298281
23,1345890
24,1412047
25,1383610
26,1360390
27,1545707
28,1213507
29,1357667
30,1279644
31,1390751
32,1365968
33,1400738
34,1448739
35,1338454
36,1330671
37,1559476
38,1326739
39,1346736
40,1410300
41,1307480
42,1316012
43,1306080
44,1406682
45,1277916
46,1261551
47,1345014
48,1381386
49,1427186
50,1428926
51,1271199
52,1431743
53,1394410
54,1325893
55,1293292
56,1433644
57,1326746
58,1353386
59,1282267
60,1395275
61,1369426
62,1367055
63,1356520
64,1490434
65,1314851
66,1300520
67,1512752
68,1361606
69,1372356
70,1471700
71,1318596
72,1344294
73,1333078
74,1360122
75,1351412
76,1328446
77,1337253
78,1272431
79,1309444
80,1352254
81,1374447
82,1339385
83,1309611
84,1393286
85,1362355
86,1337022
87,1390934
88,1379697
89,1305889
90,1341252
91,1310955
92,1359902
93,1532586
94,1337656
95,1378199
96,1387479
97,1324723
98,1488002
99,1373167
