run,ns
0,243894
1,263901
2,246656
3,252253
4,248176
5,268823
6,256638
7,264748
8,241468
9,276559
10,254465
11,266243
12,256931
13,250883
14,256443
15,243411
16,270801
17,245811
18,254305
19,256170
20,242957
21,265240
22,242797
23,266816
24,275064
25,268853
26,265338
27,248782
28,249388
29,246254
30,259319
31,256272
32,296705
33,261608
34,259074
35,276784
36,262215
37,239434
38,276075
39,261268
40,258402
41,263470
42,279531
43,287190
44,275196
45,275096
46,259157
47,276634
48,260689
49,249934
50,263890
51,258064
52,257007
53,257130
54,281605
55,280328
56,238796
57,261541
58,271300
59,267135
60,259543
61,253646
62,260985
63,262543
64,255891
65,302682
66,252136
67,258653
68,268755
69,255737
70,262666
71,259710
72,279996
73,251157
74,251539
75,263039
76,261322
77,254705
78,282242
79,344645
80,265687
81,252677
82,256856
83,251290
84,252190
85,265840
86,264166
87,242835
88,264356
89,255744
90,243267
91,259596
92,254612
93,263039
94,264951
95,256976
96,278825
97,248240
98,257928
99,259135
