run,ns
0,19683001
1,19768974
2,20986330
3,19354734
4,19950459
5,20380593
6,20263926
7,19752397
8,19945668
9,19955540
10,20690113
11,19476408
12,19271953
13,19607751
14,19005785
15,19342080
16,19303467
17,19080123
18,19419629
19,19414557
20,19843381
21,19453804
22,19729214
23,19432668
24,19272533
25,20380303
26,18987459
27,18994391
28,19193309
29,18973557
30,19748329
31,19390803
32,19334347
33,19037037
34,19328201
35,20659151
36,19615336
37,19350906
38,19203228
39,19333073
40,19262568
41,19314330
42,19691529
43,19123477
44,19109466
45,19165633
46,19187469
47,19339352
48,19404701
49,19784335
50,19226550
51,19253982
52,19038477
53,19448446
54,19333070
55,19097807
56,19274301
57,19323455
58,19922139
59,19334365
60,18985342
61,19523670
62,19107779
63,19130062
64,19929437
65,19348283
66,19068095
67,19148824
68,19372858
69,19574006
70,19558186
71,19336000
72,19262922
73,19210886
74,19268085
75,19200924
76,19468655
77,19434590
78,19348872
79,19127158
80,19576033
81,19910450
82,18972646
83,19323460
84,19245696
85,18936833
86,19852252
87,19228842
88,19452621
89,19300807
90,19651527
91,19249455
92,18948475
93,18939448
94,19089509
95,19347237
96,19227636
97,19051475
98,19058743
99,19125593
