run,ns
0,32753
1,41950
2,36192
3,36720
4,32739
5,38854
6,37094
7,38160
8,32418
9,37534
10,32579
11,33869
12,32293
13,31678
14,43280
15,31000
16,37393
17,35650
18,35720
19,44555
20,32159
21,46898
22,36838
23,37154
24,40111
25,98154
26,37229
27,34116
28,36405
29,36262
30,50071
31,34061
32,35617
33,37296
34,37518
35,34431
36,126346
37,35453
38,35023
39,36412
40,33032
41,33410
42,35318
43,29902
44,35682
45,32789
46,37253
47,35716
48,34507
49,37725
50,39942
51,34102
52,34611
53,38718
54,34839
55,33192
56,37185
57,37339
58,32674
59,35577
60,35637
61,35379
62,34938
63,33421
64,37581
65,38849
66,36533
67,32557
68,44583
69,39155
70,31806
71,29525
72,38375
73,35805
74,34336
75,33715
76,36905
77,37142
78,36240
79,37423
80,39137
81,35605
82,30478
83,37173
84,30953
85,34825
86,31067
87,39942
88,45719
89,29707
90,32073
91,40912
92,38715
93,33707
94,44347
95,39600
96,34524
97,29438
98,36238
99,31727
