run,ns
0,17307949791
1,17468325518
2,17251413157
3,17317463121
4,17315797816
5,17335688612
6,17276673738
7,17212050923
8,17735847947
9,17770162193
10,17476065288
11,16950844588
12,16921510278
13,16915681571
14,16914071168
15,16949662075
16,16898219392
17,16902110122
18,16926498015
19,16918716862
20,16885742831
21,16864243567
22,16928412205
23,17135393960
24,16911472127
25,16916643748
26,16900622434
27,16903383920
28,16890541609
29,16920115270
30,16914986975
31,16921848628
32,16896623907
33,16913075729
34,16895522144
35,16865508010
36,16940229223
37,16889468279
38,16897416436
39,16899427676
40,16905450101
41,16886546697
42,16864215749
43,16900543520
44,16910328148
45,16912477927
46,16894711268
47,16988147474
48,16909424508
49,16873656181
50,16895553215
51,16910877938
52,16898830360
53,16900149390
54,16934209598
55,16895657912
56,16892711468
57,16903545157
58,16910626093
59,16907293345
60,16896455098
61,16923291614
62,16912893193
63,16887448713
64,16876846829
65,16948623419
66,16914754915
67,16897383826
68,16917895528
69,16918004287
70,16881880063
71,16883278198
72,16932217001
73,16898842782
74,16889971606
75,16914817611
76,16909539402
77,16893414392
78,16902384716
79,16918841391
80,16916679451
81,16898362968
82,16909518018
83,16904039343
84,16869058036
85,16881292811
86,16906782657
87,16894866498
88,16921498331
89,16909472856
90,16928091838
91,16888963817
92,16869232631
93,16928966737
94,16899623737
95,16901504498
96,16889972966
97,16915953026
98,16910223926
99,16891959792
