run,ns
0,226902
1,196349
2,220611
3,285413
4,198046
5,209147
6,204912
7,238085
8,206920
9,199661
10,213864
11,194591
12,205327
13,200367
14,202759
15,199001
16,197106
17,185560
18,210516
19,204863
20,204160
21,209914
22,192448
23,312549
24,246211
25,205721
26,186812
27,192428
28,205226
29,200282
30,199967
31,185789
32,207400
33,194866
34,197456
35,203238
36,190748
37,202471
38,210123
39,211412
40,216751
41,203504
42,196273
43,209998
44,201184
45,217979
46,201750
47,218382
48,206448
49,208047
50,197308
51,195716
52,192742
53,192286
54,193835
55,197284
56,208290
57,189824
58,224928
59,200161
60,190882
61,181599
62,186593
63,208532
64,186629
65,187331
66,189753
67,202164
68,194444
69,198280
70,196057
71,197451
72,195066
73,195963
74,218384
75,200921
76,206384
77,200944
78,198702
79,218552
80,197507
81,310050
82,216773
83,215706
84,228624
85,205787
86,296699
87,204537
88,198908
89,192293
90,219578
91,203304
92,199666
93,200436
94,209061
95,207855
96,210188
97,212410
98,205009
99,199731
