run,ns
0,1034620
1,1268106
2,1050323
3,1044398
4,1049147
5,1093587
6,966665
7,1076762
8,1063713
9,1013460
10,1012616
11,1054321
12,1008248
13,1066558
14,1183297
15,1061391
16,1199958
17,974623
18,1004827
19,1049325
20,1025650
21,1003547
22,971955
23,1239509
24,1022338
25,992968
26,1274575
27,1036391
28,1054161
29,1082110
30,1042034
31,1045355
32,1157896
33,1093906
34,1041904
35,1053402
36,1046730
37,1083460
38,1283012
39,1040308
40,1210899
41,1337248
42,1057987
43,1055000
44,1021997
45,1067423
46,1125431
47,945194
48,1032212
49,1058060
50,1160507
51,1085813
52,1102774
53,1041070
54,1097989
55,1156554
56,1031780
57,1086898
58,1059106
59,1002011
60,1046212
61,1059526
62,1006598
63,1020379
64,1212332
65,1023276
66,1028983
67,1033245
68,1684914
69,1017394
70,1165581
71,1076615
72,1050172
73,1057286
74,1022477
75,978942
76,1048924
77,1035270
78,996457
79,1029549
80,1032263
81,1012771
82,1055712
83,1027269
84,1149578
85,1010103
86,1068720
87,1035888
88,1037650
89,1084919
90,1171094
91,978420
92,1057108
93,1017294
94,1042860
95,1053252
96,959104
97,1023416
98,1001103
99,1316394
