run,ns
0,3502222
1,3419885
2,3485955
3,3490148
4,3452387
5,3462735
6,3446529
7,3542047
8,3526798
9,3562345
10,3548004
11,3482108
12,3487324
13,3579983
14,3567370
15,3490338
16,3525929
17,3794484
18,3699350
19,3442722
20,3449050
21,3541360
22,3726980
23,3529617
24,3498939
25,3568416
26,3541148
27,3555232
28,3509955
29,3524065
30,3510302
31,3588425
32,4042942
33,3457967
34,3459367
35,3513010
36,3442134
37,3635317
38,3425448
39,3382892
40,3439491
41,3487462
42,3573129
43,3424366
44,3532484
45,3550256
46,3494079
47,3494347
48,3476206
49,3731125
50,3643287
51,3617104
52,3445459
53,3400294
54,3462003
55,3516642
56,3520816
57,3397200
58,3438304
59,3424730
60,3503546
61,3496350
62,3457283
63,3432997
64,3491609
65,3508526
66,3451796
67,3400649
68,3576661
69,3550604
70,3429355
71,3449410
72,3753781
73,3452187
74,3440153
75,3463986
76,3459889
77,3467247
78,3546214
79,3470281
80,3453389
81,3525740
82,3483871
83,3505765
84,3485893
85,3414204
86,3505469
87,3440092
88,3605511
89,3437581
90,3407200
91,3548950
92,3469520
93,3435950
94,3459939
95,3570166
96,3573001
97,3455305
98,3465698
99,3409342
