run,ns
0,143545976
1,141078240
2,143324212
3,143343271
4,144122310
5,141506624
6,143230801
7,142377741
8,141585451
9,145325517
10,143816511
11,144767901
12,143363010
13,145728805
14,141690035
15,143954705
16,146869010
17,143302469
18,142087332
19,141909836
20,145118133
21,142738486
22,141660535
23,147259197
24,149202149
25,144479782
26,145992128
27,142863472
28,141625409
29,148857970
30,145407660
31,145366869
32,146151062
33,146967064
34,144032406
35,142640528
36,147090182
37,144954486
38,147274461
39,147791862
40,145040332
41,144321602
42,146382907
43,146910573
44,143040981
45,142393755
46,144799897
47,142705644
48,142375656
49,146635260
50,146219264
51,146792852
52,149360489
53,144294196
54,143926943
55,142112536
56,149141792
57,145778216
58,147526541
59,146090089
60,141900408
61,141420976
62,143308830
63,149670566
64,146603013
65,144852976
66,144366051
67,143553802
68,143142134
69,144397714
70,150785023
71,149633580
72,141666929
73,142438951
74,142828058
75,144176618
76,140778190
77,144804620
78,142808254
79,145262402
80,143929873
81,142712272
82,144676202
83,143102830
84,143597722
85,143468126
86,145918347
87,143337793
88,142142080
89,142867059
90,147184888
91,144579621
92,141708994
93,142172427
94,143829550
95,141104455
96,144253134
97,141148046
98,142401210
99,141999107
