run,ns
0,5078146
1,4871883
2,5120386
3,5075359
4,5396535
5,5059469
6,5107404
7,5014375
8,5178605
9,5059954
10,5311223
11,5047925
12,5632306
13,5177975
14,5023651
15,5254167
16,4922890
17,5381916
18,5156871
19,5219531
20,5098503
21,5049096
22,5012648
23,5264756
24,5245775
25,5254718
26,5169894
27,5140306
28,5085104
29,5072835
30,5201598
31,5174263
32,5035646
33,5044677
34,5063731
35,5237495
36,5067175
37,4952598
38,5112509
39,5034404
40,5019091
41,5169157
42,5223208
43,5012014
44,5102361
45,5034792
46,5008611
47,5188635
48,4999273
49,4924641
50,5175823
51,5074190
52,5001349
53,5348228
54,5122120
55,5070740
56,5176513
57,5104472
58,5147718
59,5013627
60,5000418
61,5105024
62,5073064
63,5064364
64,4966021
65,5606563
66,5162721
67,4981831
68,5662830
69,5180147
70,5017243
71,4962552
72,5141618
73,5014626
74,5058399
75,4905881
76,5073736
77,5060860
78,5071810
79,5265671
80,5038746
81,5193583
82,5458328
83,5263006
84,5172146
85,5158053
86,5296078
87,5169122
88,5019439
89,5077260
90,5077952
91,5425983
92,5056347
93,5075571
94,5120203
95,5263904
96,5316660
97,5171317
98,5142255
99,5210092
