run,ns
0,7323
1,4266
2,4404
3,3809
4,4465
5,4341
6,3752
7,3631
8,5125
9,3943
10,3621
11,3529
12,3893
13,3806
14,3719
15,4463
16,4407
17,3190
18,4245
19,4630
20,4791
21,4350
22,4264
23,4076
24,3531
25,3762
26,3201
27,4382
28,3917
29,4368
30,3791
31,4051
32,4084
33,4865
34,3725
35,3571
36,3969
37,4271
38,5039
39,57126
40,5311
41,4309
42,4632
43,3850
44,4980
45,4154
46,3682
47,4616
48,4460
49,4723
50,3808
51,3680
52,4170
53,5148
54,3412
55,4082
56,4115
57,2948
58,3907
59,3605
60,4475
61,3405
62,3834
63,5048
64,4028
65,3880
66,4788
67,3528
68,3709
69,4715
70,3729
71,3613
72,4077
73,3718
74,5615
75,4697
76,5080
77,4759
78,5036
79,4334
80,4763
81,4108
82,3867
83,4039
84,4208
85,4268
86,4243
87,3970
88,4152
89,4097
90,3544
91,3563
92,4903
93,3825
94,3101
95,4297
96,4602
97,4636
98,4784
99,3786
