run,ns
0,2866417
1,2915352
2,2952828
3,2883135
4,2911562
5,2920738
6,2968484
7,2996965
8,2903940
9,3035573
10,2933047
11,3134725
12,3314223
13,3253077
14,3312938
15,2970684
16,3023958
17,3029518
18,2929868
19,3060224
20,2906809
21,3100535
22,3037691
23,2993182
24,3059615
25,3015613
26,2968270
27,2941804
28,2963044
29,2982265
30,3047865
31,3067371
32,2955754
33,3344128
34,3081879
35,3044833
36,2939360
37,3004746
38,2942027
39,3220102
40,2930688
41,2959293
42,2963146
43,2987109
44,2956297
45,3060316
46,3000482
47,3048998
48,3245728
49,2921600
50,2973341
51,3142487
52,3119124
53,3200924
54,2917258
55,3030991
56,3006420
57,3061170
58,3383098
59,3204113
60,3002651
61,3043745
62,2937351
63,2976025
64,2973801
65,3035376
66,2920401
67,3017533
68,3074837
69,3075084
70,2957052
71,3003612
72,2989301
73,3019021
74,2892460
75,3251585
76,2907187
77,2986635
78,2903043
79,2849241
80,2913759
81,2951570
82,2863378
83,2991622
84,2921199
85,3123912
86,3035418
87,2926559
88,3071080
89,3237378
90,2911816
91,2981691
92,2960569
93,2903613
94,3179733
95,2848613
96,2886833
97,3275834
98,2962773
99,3102186
