run,ns
0,5212
1,3308
2,3459
3,470
4,3222
5,3816
6,1259
7,2566
8,2962
9,2705
10,2908
11,2331
12,1487
13,2722
14,3222
15,3462
16,1805
17,3371
18,3008
19,2426
20,2200
21,3241
22,2928
23,2396
24,2921
25,2333
26,3531
27,2450
28,3510
29,458
30,2829
31,2605
32,2437
33,2702
34,2367
35,2987
36,435
37,2501
38,451
39,2627
40,3620
41,4321
42,1432
43,2690
44,2370
45,1709
46,2995
47,3418
48,2367
49,735
50,2929
51,3616
52,1957
53,2837
54,2188
55,2965
56,3312
57,2389
58,456
59,2663
60,3397
61,4237
62,2227
63,2794
64,2246
65,2694
66,2902
67,2806
68,3460
69,3468
70,2903
71,2567
72,2308
73,3324
74,422
75,2564
76,2899
77,2732
78,2667
79,645
80,436
81,2822
82,3192
83,2709
84,939
85,2431
86,3078
87,2795
88,2370
89,3112
90,2877
91,3072
92,2883
93,2664
94,3407
95,1525
96,1944
97,2315
98,2499
99,2004
