run,ns
0,280120131
1,272280152
2,276778965
3,272451045
4,273999131
5,277871518
6,275478903
7,272112479
8,275200623
9,272465769
10,275233800
11,271353700
12,273892664
13,280592736
14,273337376
15,272089453
16,269909105
17,272032954
18,275309560
19,270365889
20,271939480
21,272130310
22,271320265
23,269489312
24,268363309
25,267390483
26,266328580
27,267425245
28,262895697
29,263631049
30,272631529
31,277485729
32,273618144
33,269132602
34,267047207
35,269565722
36,266266832
37,270569580
38,268694970
39,267991052
40,273657586
41,266744853
42,267441358
43,263136274
44,268093450
45,263844599
46,261093446
47,262603348
48,282235493
49,272855782
50,271850401
51,268811856
52,271369115
53,273080721
54,271070281
55,270767719
56,271781471
57,272660710
58,273361187
59,271796876
60,271054669
61,277368756
62,273757393
63,273495951
64,275070682
65,273899664
66,271012887
67,270114641
68,274046472
69,275625412
70,279295568
71,273818360
72,271317498
73,273172432
74,273654983
75,274044049
76,271983438
77,273715274
78,274943547
79,269831515
80,270187438
81,272524531
82,269364507
83,272041708
84,271453756
85,272252126
86,268796844
87,274014924
88,270880732
89,272880738
90,272846917
91,273036895
92,271380977
93,272796420
94,273194948
95,271255353
96,272709931
97,275386807
98,275374412
99,275580596
