0;10000;7640857;5.4603;1
0;100000;66198383;6.08993;10
0;500000;319836133;6.66572;10
0;962903;677797448;6.63661;10
1;10000;12313525;5.4603;1
1;100000;62598539;6.08993;10
1;500000;345077021;6.66572;10
1;962903;694122682;6.63661;10
2;10000;10648046;5.4603;1
2;100000;62558217;6.08993;10
2;500000;342666650;6.66572;10
2;962903;692848976;6.63661;10
3;10000;9878065;5.4603;1
3;100000;66755484;6.08993;10
3;500000;336438140;6.66572;10
3;962903;679742870;6.63661;10
4;10000;12121967;5.4603;1
4;100000;68568099;6.08993;10
4;500000;335639878;6.66572;10
4;962903;692287330;6.63661;10
5;10000;10711196;5.4603;1
5;100000;62881360;6.08993;10
5;500000;338312261;6.66572;10
5;962903;689925982;6.63661;10
6;10000;10674017;5.4603;1
6;100000;69880820;6.08993;10
6;500000;335270422;6.66572;10
6;962903;682995160;6.63661;10
7;10000;10435239;5.4603;1
7;100000;68297001;6.08993;10
7;500000;337835735;6.66572;10
7;962903;685293701;6.63661;10
8;10000;15313042;5.4603;1
8;100000;63549391;6.08993;10
8;500000;339565004;6.66572;10
8;962903;697027446;6.63661;10
9;10000;10820292;5.4603;1
9;100000;68246896;6.08993;10
9;500000;336934714;6.66572;10
9;962903;686403782;6.63661;10
