0;10000;80771696;5.4603;1
0;100000;1047927967;6.08993;10
0;500000;6603333354;6.66572;10
0;962903;14102451944;6.63661;10
1;10000;118518507;5.4603;1
1;100000;1244461506;6.08993;10
1;500000;7168131758;6.66572;10
1;962903;15316607746;6.63661;10
2;10000;140358554;5.4603;1
2;100000;1257028257;6.08993;10
2;500000;7228399317;6.66572;10
2;962903;14771426901;6.63661;10
3;10000;158004027;5.4603;1
3;100000;1253522098;6.08993;10
3;500000;7322061107;6.66572;10
3;962903;14980197142;6.63661;10
4;10000;163616733;5.4603;1
4;100000;1235469407;6.08993;10
4;500000;7382653788;6.66572;10
4;962903;15222959870;6.63661;10
5;10000;170984684;5.4603;1
5;100000;1247820998;6.08993;10
5;500000;7376159267;6.66572;10
5;962903;15150247339;6.63661;10
6;10000;172236036;5.4603;1
6;100000;1266347984;6.08993;10
6;500000;7452449212;6.66572;10
6;962903;15263198865;6.63661;10
7;10000;178446783;5.4603;1
7;100000;1280333154;6.08993;10
7;500000;7466778432;6.66572;10
7;962903;15681182476;6.63661;10
8;10000;188044579;5.4603;1
8;100000;1257279581;6.08993;10
8;500000;7689028388;6.66572;10
8;962903;15683084413;6.63661;10
9;10000;112000366;5.4603;1
9;100000;1319980613;6.08993;10
9;500000;7896796420;6.66572;10
9;962903;15925312957;6.63661;10
