0;10000;33503539;5.4593;1
0;100000;469859929;6.08983;10
0;500000;2906399438;6.6657;10
0;962903;4990396437;6.6366;10
1;10000;40774135;5.4593;1
1;100000;402873834;6.08983;10
1;500000;2490850442;6.6657;10
1;962903;4384052433;6.6366;10
2;10000;45909637;5.4593;1
2;100000;396268209;6.08983;10
2;500000;2366738930;6.6657;10
2;962903;4387010929;6.6366;10
3;10000;49548445;5.4593;1
3;100000;394639748;6.08983;10
3;500000;2411795224;6.6657;10
3;962903;4437445350;6.6366;10
4;10000;53832152;5.4593;1
4;100000;382573070;6.08983;10
4;500000;2452278190;6.6657;10
4;962903;4542488340;6.6366;10
5;10000;56210092;5.4593;1
5;100000;374306333;6.08983;10
5;500000;2628544297;6.6657;10
5;962903;4535699737;6.6366;10
6;10000;38160703;5.4593;1
6;100000;348022727;6.08983;10
6;500000;2518111937;6.6657;10
6;962903;4613292551;6.6366;10
7;10000;29244915;5.4593;1
7;100000;400594181;6.08983;10
7;500000;2512156975;6.6657;10
7;962903;4512453263;6.6366;10
8;10000;52935439;5.4593;1
8;100000;377174531;6.08983;10
8;500000;2580744212;6.6657;10
8;962903;4601815717;6.6366;10
9;10000;48868680;5.4593;1
9;100000;360180851;6.08983;10
9;500000;2566774262;6.6657;10
9;962903;4559613109;6.6366;10
